ko,zh-cn
- 2000의 데미지는 1초마다 200의 데미지가 감전 피해로 나누어 적용됩니다.,- 敌人每1秒受到200点感电伤害， 共受到2000点伤害。
"- 8000의 데미지는 히트 1회당 800의 데미지가 감전 피해로 나누어 적용되며, 이 경우 10초 내에 10히트를 달성해야 8000의 데미지를 모두 입힐 수 있습니다.",- 自身每1次攻击附加800点伤害， 该伤害并入到下一次感电伤害中， 最多附加8000点伤害。
 F.D.피어서,终结穿刺
 거부,拒绝屏障
 극야,极夜·妖刃千散
 도깨비 바람,狂妖风暴
 동족 사냥꾼,捕猎箭
 래피드샷,迅猛速射
 먹이를 노리는 매의 눈,狩猎之瞳
 발골,卸骨
 발톱 꺼내기,利爪锋芒
 발톱 문신,妖痕抓击
 밤 슈터,引爆发射
 부스트 기어,推进装置
 부탁하기,委托
 사냥꾼의 인사법,见面礼
 산 제물의 연회,鲜活宴场
 새비지,蛮荒魅影
 스프링클러,炽热喷涌
 신요의 발톱,神妖之爪
 쓰리 인 어 베드,三弓床弩
 아웃버스트,妖潮狂袭
 안면 할퀴기,破颜击
 요기 살포,妖气散发
 요수조,妖爪
 요요만찬,妖蛇暴雨
 인간화,人形化
 조인트 : 디몰리셔,联合作战 : 最终一役
 조인트 : 라운드업,联合作战 : 围猎
 조인트 : 카펫 바밍,联合作战 : 地毯式轰炸
 조인트 : 터닝 포인트,联合作战 : 扭转战局
 쫓는 뱀,御蛇
 팔케 : 윙 커터,帕伊卡 : 翼之刀锋
 패스트 트리거,急速扳机
 퍼펙트 에이밍,完美瞄准
 프레데터,噬心妖魂
 피스 피어서,妖芒之茧
 하악질,威慑低吼
 하이프레셔,高压喷射
- 화상 및 빙결 상태 이상이 즉시 해제되며 남은 2초의 화상 피해량 4000의 5% 증가된 데미지인 4200이 즉시 적용됩니다.,- 灼伤和冰冻状态立即解除， 并造成4200点 (剩余2秒的4000点灼伤伤害增加5%) 灼伤伤害。
 확인 사살,巡猎终结
(구)아이패치,创可贴
[거대화],[巨大化]
[내면의 불꽃],[内心的火花]
[다이스 리롤],[骰子重掷]
[메아리치는 화염],[火焰回响]
[불사의 주술],[不死之术]
[생사의 경계],[生死边界]
[섀도우 워커],[暗影行者]
[성난 번개 구름],[怒雷之云]
[성난 잭오랜턴],[愤怒杰克爆弹]
[성난 잭프로스트],[愤怒冰霜雪人]
[성난 플로레상],[愤怒光电鳗]
[소형화],[缩小化]
[아스라한 : 무의 장막] 반추하는 기억을 거슬러,[雾隐之地 : 雾之幕] 探寻溯忆之界
[아이기스의 방패],[埃癸斯之盾]
[안개의 기억],[雾之记忆]
[얼렸다 녹였다],[破冰]
[영웅의 기백],[英雄气魄]
[오버 차지],[过度填充]
[응축된 대류],[浓缩的流岚]
[작은 거인의 발걸음],[小巨人的步伐]
[차원 이동],[次元移动]
[천공의 지배],[支配苍穹]
[천둥 가속],[天雷加速]
[최후의 광폭화],[最后的狂暴]
[폭발 약속 - 강화],[爆发约定 - 强化]
[혹한의 일격],[酷寒一击]
