ko,zh_cn
솔 마기아,颂乐·玛奇亚
이소벨,伊莎贝尔
가라니아,卡菈尼亚
가르비쉬,加尔维什
가면 올빼미의 숲,假面鸟兽森林
가모스의 둥지,卡莫斯的巢穴
가비냐 대분화구,嘎比纳大喷火口
가비냐 해안 절벽,嘎比纳海岸绝壁
가비냐 화산지대,嘎比纳火山地带
가비노 농장,加维诺农场
가시나무 성,荆棘树城
가시나무 숲,荆棘树森林
가시나무 여신상,荆棘树女神像
가야크 제단,伽耶科祭坛
가이핀라시아 사원,盖芬拉西亚寺院
가하즈 도적단 소굴,伽哈兹猎者团巢穴
간바타르,坎伯塔洛
간볼드,坎博德
간조리그,坎兆利哥
간툴가,坎图尔加
갈기족 소굴,鬃毛族巢穴
갈리니,卡尔里尼
감시탑,守望塔
갑돌아범,阿呆的父亲
거인족 주둔지,巨人族营地
검은 눈뿌리,黑眼根
게르미나,盖勒米奈
게르비슈 산맥,盖勒比苏山脉
게리오,盖里奥
게아쿠 평원,盖亚库平原
겔르시,凯勒氏
경각의 종,警觉之钟
고대 유적 발굴지,古代遗迹挖掘地
고대의 틈,古代缝隙
고대인의 석실,古代人的石室
고르가스,戈尔加斯
고르고 암석지대,戈尔各岩石地带
고리나무 숲,环树森林
고립된 초소,被孤立的岗哨
고블린,哥布林
고블린 동굴,哥布林洞穴
고옌,孤烟
고원 삼거리,高原三岔路
곡창지대,谷仓地带
구 단델리온,旧丹堤利恩
구분짓는 산,分界之山
군터,军托
귄트 언덕,肯恩特丘陵
그늘나무 숲,荫树森林
그라나,格拉纳
그란디하,格兰迪哈
그레이스 로렌,格蕾丝·劳伦
그렌 하프,格伦·哈普
그리피스,古力菲斯
그림자 기사단장,暗影骑士团长
글루토니 동굴,葛鲁特尼洞穴
글리시 늪지,戈里希沼泽
글리시 마을,戈里希村
글리시 폐허,戈里希废墟
기도하는 자,祈祷者
기도하는이,祈祷的人
기원의 샘,祈愿之泉
긴잎나무 숲,长叶树森林
긴잎나무 정찰 초소,长叶树侦察岗哨
깊은 밤의 항구,深夜港口
까마귀의 둥지,乌鸦巢穴
꿈꾸는 오아시스,梦幻的绿洲
끝없는 겨울의 산,永冬之山
나다 섬,讷达岛
나디아 닉키,纳迪亚·妮基
나랑게헬,纳郎格尔
나르보 섬,纳勒柏岛
나르실란,纳勒锡兰
나반 초원,纳班草原
나탈리야,纳塔利亚
낙시온,纳克希恩
날쌘다람쥐리치,敏捷的松鼠利吉
남 카이아 나루,南卡亚渡口
남 카이아 호수,南卡亚之湖
남부 경비 캠프,南部警备营
남부 나가 습지,南部纳迦沼泽
남부 산맥,南部山脉
남부 중립 지역,南部中立地区
남부 포건 습지,南部普根沼泽
남쪽 늪지대,南边沼泽
네델 오슬리아,柰缇·奥瑟莉雅
네루오,奈鲁奥
네르구이,奈勒古依
네트넘 섬,奈特尼恩岛
넬티오,奈缇欧
노병의 협곡,老兵峡谷
노셀린,诺斯林
노예,奴仆
노인의 다리,老人之桥
노인의 다리 초소,老人之桥岗哨
누카미라,努卡米拉
누탄타,努坦塔
늑대 언덕,沃夫兽之丘陵
다니오,达尼欧
다스 라뮤트,达斯·拉谬特
다스 루베렌,达斯·洛贝林
다스 모리오,达斯·莫莉奥
다스 모안나,达斯·莫阿娜
다스 유렌,达斯·尤伦
다스 조지나,达斯·乔治娜
다스 체이시,达斯·契伊思
다스 카터,达斯·卡特
다스 훔바,达斯·胡恩巴
다와,达瓦
단죄하는 제단,断罪之祭坛
달라왈라,达拉瓦拉
달리사인,达里萨恩
달의 뼈,月之骨
대족장의 영묘,大族长的灵庙
더코 섬,德寇岛
던데 섬,德恩特岛
데눌라,戴努拉
데렌샤,德伦莎
데르닐 농장,戴路尼农场
데미 강,德米河
데미 강변,德米河边
데벨라,德贝拉
데시아 므르다,德西亚·穆尔达
데우스,戴乌斯
데이튼 섬,戴特恩岛
데인 협곡,戴因峡谷
데카리오,黛卡里奥
데키아,代基亚
델라델나,黛菈黛娜
델레거,戴蕾格
델루치 농장,戴鲁兹农场
델르니아,提勒尼亚
델리모르,戴利摩尔
델리모르 농원,戴利摩尔农场
델링하트 섬,戴林哈特岛
델페 기사단 성,戴尔佩骑士团城
델페 전진기지,戴尔佩前哨站
도나 바위산,多纳特岩山
도르만 벌목장,杜勒曼伐木场
도망친 일꾼,逃跑的佣工
도슬리아,朵瑟莉亚
독시아,独希亚
돌꼬리 언덕 말목장,石尾丘陵马牧场
돌꼬리 황무지,石尾荒芜地
돌로렌스,多罗伦斯
돌부리 해안,石尖海岸
동부 경계,东部边境
동부 관문,东部关口
두흐 섬,杜胡岛
둘군,屯军
둠라둠,屯拉屯
둠바,屯巴
드리간,德利勘
드리간노인,德利勘老人
드리간장사꾼,德利勘商人
드리간주민,德利勘居民
드벤크룬,德本克伦
드벤크룬 경작지,德本克伦耕地
디그리오,提克里奥
디아스 농장,迪亚斯农场
라 오델,拉·奥德尔
라메다 섬,拉麦达岛
라모 계곡,拉莫山谷
라뮤트 유랑기지,拉谬特流浪基地
라미라,拉米拉
라벨라,拉贝拉
라비니아,拉维尼亚
라비오,拉比奥
라비켈,拉比凯尔
라시드 섬,拉西德岛
라이젤,莱因捷尔
라이칼 폭포,莱因卡尔瀑布
라일리,拉伊丽
라크샨 천문대,拉克沙天文台
라크시,拉克锡
라키오,拉奇奥
라피,拉比
라피 베드마운틴,拉比·贝德蒙特
란도,朗杜
란도동생,朗杜弟弟
란디스 섬,蓝迪斯岛
랑티니아,朗提尼亚
러니 산장,罗尼山庄
레나 아르빈,蕾拉·阿勒嫔
레니아 아루,雷尼亚·阿鲁
레닐루,雷尼尔鲁
레라오 섬,雷拉欧岛
레마 섬,雷玛岛
레모리아 경비 초소,雷莫里亚警卫岗哨
레모리아 봉화대,雷莫里亚烽火台
레모리아 중부 캠프,雷莫里亚中部营地
레비올라,雷比奥拉
레오마르,雷奥玛勒
레이나 발락스,蕾娜·巴洛斯
레타오,雷塔奥
렝또,朗托
로기아 농장,洛基亚农场
로다와,罗达瓦
로드리고,罗德利哥
로베니아,洛贝尼亚
로베카,罗贝卡
로스 해역,洛斯海域
로시나,萝希纳
로아닌,罗亚宁
로익밀스,罗伊·米尔斯
로즈반 섬,罗兹班岛
로크스 마하 데키아,洛克斯·玛哈·代基亚
루돈,卢顿
루드 유황 광산,路德硫磺矿山
루드 유황 작업장,路德硫磺作业场
루루브 섬,露露波岛
루시오,鲁西奥
루아 나무 둥치,露亚树树干
루웬,芦雯
루이바노 섬,路易巴诺岛
루이싱,路易辛
루카 버니,鲁卡·伯尼
루키오,鲁奇奥
루툼 감시초소,鲁屯守望岗哨
루툼족 주둔지,鲁屯族营地
루트,路特
루트라곤 장로,鲁特拉昆长老
룬 관문 삼거리,伦关口遗址三岔路
류비오,柳比奥
르비넹 뉘앙,勒比内·努昂
리미타,利米塔
리샤오,里沙奥
리세,利赛
리스즈 섬,里斯兹岛
